model,nh,f1,f2,f3,f
abs_pl,1.8592964824120604,1.0683816312855671e-16,5.9601898135355866e-15,1.081044607515707e-14,1.6877474051821213e-14
abs_pl,1.9095477386934674,9.130254042816495e-17,5.699902723976637e-15,1.0717925223424422e-14,1.6509130487829226e-14
abs_pl,1.9597989949748744,7.808398826950964e-17,5.453349504791409e-15,1.0626605828277036e-14,1.6158039321337956e-14
abs_pl,2.0100502512562817,6.68261838664947e-17,5.2196622006256555e-15,1.0536469316601295e-14,1.5822957701093446e-14
abs_pl,2.0603015075376887,5.722968403200411e-17,4.9980364036922375e-15,1.0447497429624903e-14,1.5502763517349145e-14
abs_pl,2.1105527638190957,4.90424229323299e-17,4.787726065134168e-15,1.0359672217290814e-14,1.519644070535731e-14
abs_pl,2.1608040201005028,4.205188631115857e-17,4.588038764429245e-15,1.0272976032735788e-14,1.4903066683476193e-14
abs_pl,2.21105527638191,3.607864710982247e-17,4.3983313940713935e-15,1.0187391526871515e-14,1.4621801568052732e-14
abs_pl,2.261306532663317,3.09710108787486e-17,4.2180062209234634e-15,1.0102901643066404e-14,1.4351878874868617e-14
abs_pl,2.311557788944724,2.6600569113327556e-17,4.046507289378656e-15,1.001948961192607e-14,1.4092597470418053e-14
abs_pl,2.361809045226131,2.285849783648861e-17,3.883317134835802e-15,9.937138946170663e-15,1.3843314578842953e-14
abs_pl,2.412060301507538,1.9652469786786152e-17,3.727953779025837e-15,9.85583343560719e-15,1.3603439684419812e-14
abs_pl,2.462311557788945,1.6904073271423435e-17,3.579967981457365e-15,9.775557142194987e-15,1.3372429196923777e-14
abs_pl,2.512562814070352,1.4546650493374684e-17,3.4389407237087e-15,9.696294395202634e-15,1.3149781769404709e-14
abs_pl,2.562814070351759,1.2523484022577544e-17,3.304480905510172e-15,9.618029786454481e-15,1.293503417598723e-14
abs_pl,2.613065326633166,1.0786272871834603e-17,3.1762232335581756e-15,9.54074816566515e-15,1.2727757672095159e-14
abs_pl,2.663316582914573,9.293849993294954e-18,3.0538262858036533e-15,9.464434635860313e-15,1.2527554771657262e-14
abs_pl,2.71356783919598,8.01110142579238e-18,2.9369707355824112e-15,9.389074548882087e-15,1.2334056385890293e-14
abs_pl,2.763819095477387,6.908054184280723e-18,2.825357721420491e-15,9.314653500977468e-15,1.214691927658224e-14
abs_pl,2.814070351758794,5.9591055950340175e-18,2.7187073496708683e-15,9.24115732846821e-15,1.1965823783734113e-14
abs_pl,2.864321608040201,5.142371385278648e-18,2.616757318332294e-15,9.168572103500594e-15,1.1790471793218167e-14
abs_pl,2.9145728643216082,4.439133625030908e-18,2.5192616514799645e-15,9.09688412987357e-15,1.1620584914978565e-14
abs_pl,2.9648241206030153,3.8333727449307765e-18,2.4259895347125425e-15,9.02607993894382e-15,1.1455902846401292e-14
abs_pl,3.0150753768844223,3.3113704392039504e-18,2.3367242429010974e-15,8.956146285606209e-15,1.129618189894651e-14
abs_pl,3.0653266331658293,2.8613724060003957e-18,2.251262152322157e-15,8.887070144348278e-15,1.1141193669076436e-14
abs_pl,3.1155778894472363,2.4733016577219306e-18,2.169411829977659e-15,8.818838705377305e-15,1.0990723837012686e-14
abs_pl,3.1658291457286434,2.138514615944968e-18,2.0909931935565552e-15,8.751439370818601e-15,1.0844571078991102e-14
abs_pl,3.2160804020100504,1.849593441496099e-18,2.0158367360830337e-15,8.684859750983676e-15,1.0702546080508205e-14
abs_pl,3.2663316582914574,1.6001690828143452e-18,1.943782809830752e-15,8.619087660706938e-15,1.0564470639620507e-14
abs_pl,3.3165829145728645,1.3847703898252037e-18,1.874680964566636e-15,8.55411111574968e-15,1.043017685070614e-14
