Be_star,Type,RA,DEC,Xcat,Xidentifier,Gamma,e_Gamma,E_Gamma,Fb,e_Fb,E_Fb,Fs,e_Fs,E_Fs,Fm,e_Fm,E_Fm,Fh,e_Fh,E_Fh,HRms,e_HRms,E_HRms,HRhm,e_HRhm,E_HRhm,DR3Name,Plx,RPlx,PM,e_PM,epsi,sepsi,RUWE,G,e_G,BP,e_BP,RP,e_RP,Teff,Gflux,e_Gflux,E_Gflux,dist,e_dist,E_dist,J,e_J,H,e_H,K,e_K,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Vsini,Vtran,e_Vtran,E_Vtran,LX,e_LX,E_LX,fX2O,e_fX2O,E_fX2O,match_flag,Class,ref
V615 Cas,B0Ve,40.13193126,61.22933051,CXO,J024031.6+611345,1.54,0.02,0.02,2.25e-12,4e-14,3e-14,5.2e-14,3e-15,3e-15,2.11e-13,6e-15,6e-15,1.99e-12,4e-14,3e-14,0.61,0.03,0.03,0.81,0.02,0.02,Gaia DR3 465645515129855872,0.3776,29.11,0.49,0.01,0.07,8.108,0.927,10.402,0.003,10.957,0.004,9.674,0.005,,7e-10,2e-12,2e-12,2504.0,68.0,72.0,8.62,0.02,8.23,0.02,7.92,0.02,7.59,0.03,7.41,0.02,6.96,0.02,6.55,0.07,,5.9,0.2,0.2,1.6885036e+33,9.508799e+31,1.0081206e+32,0.00322,5e-05,5e-05,0,HMGB,3
IPHAS J024504.86+612502.1,B7IV,41.27022976,61.41723083,XMM,J024505.2+612502,,,,1.1e-14,1e-14,1e-14,0.0,1e-15,1e-15,8e-15,2e-15,2e-15,3e-15,1e-14,1e-14,0.9,0.4,0.4,-0.4,1.0,1.0,Gaia DR3 465718117256659328,0.0564,2.03,0.96,0.03,0.0,0.0,0.996,15.441,0.003,15.967,0.003,14.726,0.004,,6.75e-12,2e-14,2e-14,,,,13.81,0.02,13.47,0.03,13.25,0.03,13.04,0.03,12.89,0.03,12.2,,8.89,,,,,,,,,0.002,0.001,0.001,0,star,
HD 18552,B8Vne,45.04963939,38.13162277,XMM,J030011.8+380754,,,,3.29e-13,8e-15,8e-15,2.14e-13,6e-15,6e-15,8e-14,3e-15,3e-15,3.6e-14,4e-15,4e-15,-0.45,0.02,0.02,-0.38,0.05,0.05,Gaia DR3 142394903351844352,4.463,78.61,30.0,0.06,0.396,190.1,1.311,6.084,0.003,6.059,0.003,6.079,0.004,,3.733e-08,1e-10,1e-10,222.0,3.0,2.0,6.13,0.02,6.13,0.02,6.1,0.02,6.0,0.1,5.79,0.05,5.4,0.01,4.58,0.03,288.0,31.6,0.4,0.3,1.9479964e+30,6.516102e+28,5.9511116e+28,8.8e-06,2e-07,2e-07,0,star,
HD 19818,B9.5Vne,47.1086918,-59.37364393,XRT,177291,2.3,1.0,0.6,8.2e-13,6e-14,6e-14,3.4e-13,4e-14,4e-14,1.6e-13,2e-14,2e-14,3.2e-13,4e-14,4e-14,-0.35,0.1,0.1,0.32,0.09,0.09,Gaia DR3 4723685987981062656,3.3128,140.94,17.21,0.03,0.233,59.77,0.861,9.027,0.003,9.097,0.003,8.858,0.004,,2.483e-09,6e-12,6e-12,301.0,2.0,2.0,8.49,0.02,8.23,0.05,8.11,0.03,8.04,0.02,8.04,0.02,7.88,0.02,7.6,0.1,,24.5,0.2,0.2,8.925068e+30,6.579382e+29,6.591505e+29,0.00033,2e-05,2e-05,0,star,
GSC 02342-00359,B5e,52.29341706,31.36639996,CXO,J032910.3+312159,3.2,0.1,0.1,2.8e-13,1e-14,1e-14,1.3e-14,1e-15,1e-15,7.7e-14,3e-15,3e-15,1.94e-13,1e-14,1e-14,0.72,0.05,0.05,0.43,0.04,0.04,Gaia DR3 121406360248113920,3.3957,6.21,20.1,0.5,2.901,1861.0,2.889,14.608,0.004,15.45,0.01,12.491,0.008,,1.453e-11,5e-14,5e-14,312.0,39.0,62.0,9.37,0.03,7.99,0.03,7.17,0.02,6.37,0.01,5.761,0.008,,,,,,30.0,4.0,6.0,3.316734e+30,8.4586945e+29,1.3163229e+30,0.0196,0.0008,0.0007,1,YSO,1
BQ Cam,Be,53.74962972,53.17313998,CXO,J033459.9+531023,,,,2.3e-14,7e-15,7e-15,1e-15,1e-15,1e-15,1e-14,3e-15,3e-15,1.2e-14,7e-15,7e-15,0.8,0.4,0.4,0.1,0.3,0.3,Gaia DR3 444752973131169664,0.1343,6.67,0.52,0.02,0.0,0.0,1.07,14.2,0.003,15.475,0.005,13.087,0.006,,2.117e-11,7e-14,7e-14,5584.0,506.0,731.0,11.82,0.02,11.21,0.03,10.74,0.03,9.97,0.02,9.71,0.02,9.08,0.03,8.5,0.3,,14.0,1.0,2.0,8.55091e+31,3.178344e+31,3.5645582e+31,0.0011,0.0004,0.0004,0,HMXB,3
MEROPE,B6IVe,56.58167145,23.94814381,CXO,J034619.6+235653,8.7,0.8,0.9,2e-13,1e-14,1e-14,1.8e-13,1e-14,9e-15,2.2e-14,3e-15,3e-15,1e-20,1e-20,4.36435e-15,-0.78,0.06,0.06,-1.0,0.3,0.3,Gaia DR3 65205373152172032,7.067,24.69,50.1,0.2,1.505,3081.0,2.33,4.173,0.004,4.148,0.003,4.159,0.005,,2.171e-07,7e-10,7e-10,143.0,5.0,6.0,4.2,0.2,4.3,0.2,4.22,0.02,4.3,0.2,4.0,0.1,4.16,0.01,2.99,0.04,240.0,34.0,1.0,1.0,4.9266545e+29,4.543826e+28,4.891188e+28,9.3e-07,5e-08,5e-08,0,star,
Menkhib,O7.5IIIe,59.74126439,35.79104207,XMM,J035857.8+354728,,,,2.494e-12,5e-15,5e-15,2.053e-12,5e-15,5e-15,3.94e-13,2e-15,2e-15,4.7e-14,1e-15,1e-15,-0.678,0.002,0.002,-0.786,0.006,0.006,Gaia DR3 219375904303684224,2.4457,9.35,2.7,0.2,1.328,3186.0,2.236,3.975,0.003,3.97,0.003,3.889,0.004,21760.0,2.605e-07,8e-10,8e-10,418.0,39.0,58.0,4.0,0.3,4.1,0.2,3.95,0.04,4.0,0.3,3.7,0.2,3.95,0.01,3.76,0.03,213.0,5.4,0.7,0.9,5.207105e+31,9.730655e+30,1.4488581e+31,9.57e-06,4e-08,4e-08,0,star,
lam Eri,B2IVne,77.28660799,-8.75409389,XMM,J050908.8-084514,,,,7.8e-14,6e-15,6e-15,5.6e-14,4e-15,4e-15,1.5e-14,2e-15,2e-15,7e-15,4e-15,4e-15,-0.58,0.07,0.07,-0.4,0.2,0.2,Gaia DR3 3182891931108590336,3.6256,15.63,2.9,0.2,1.547,4507.0,2.283,4.243,0.003,4.117,0.003,4.386,0.005,,2.034e-07,6e-10,6e-10,275.0,16.0,21.0,4.9,0.2,4.83,0.08,4.71,0.02,4.7,0.2,4.3,0.1,4.07,0.01,3.65,0.02,318.0,3.7,0.3,0.4,7.059583e+29,9.633835e+28,1.1919943e+29,3.8e-07,3e-08,3e-08,0,star,
RX J0516.0-6916,Be,78.99972484,-69.26894575,CXO,J051559.9-691609,1.1,0.3,0.3,2.4e-13,4e-14,3e-14,1.1e-14,4e-15,3e-15,2.7e-14,3e-15,3e-15,2.1e-13,4e-14,3e-14,0.4,0.1,0.1,0.8,0.2,0.2,Gaia DR3 4658196459798969856,0.0226,1.03,1.71,0.03,0.08,1.151,0.966,15.156,0.003,15.101,0.007,15.206,0.006,23340.0,8.78e-12,3e-14,3e-14,,,,15.35,0.08,15.1,0.1,13.92,,,,,,,,,,,,,,,,,0.028,0.004,0.004,0,HMXB,1
[HP99] 946,O8e,80.1244282,-69.53214435,XMM,J052029.9-693155,,,,9.4e-14,5e-15,5e-15,7.3e-15,6e-16,6e-16,6.9e-15,4e-16,4e-16,8e-14,5e-15,5e-15,-0.03,0.05,0.05,0.84,0.08,0.08,Gaia DR3 4658173851121043200,0.0323,1.76,1.85,0.02,0.0,0.0,0.828,14.386,0.003,14.367,0.004,14.342,0.005,35914.0,1.784e-11,5e-14,5e-14,,,,14.37,0.06,14.21,0.07,14.28,0.1,,,,,,,,,,,,,,,,0.0053,0.0003,0.0003,1,star,
Cl* NGC 1893 CUF 3104,B1.5Ve,80.69202724,33.41604799,CXO,J052245.9+332458,2.2,0.2,0.3,1.4e-14,1e-15,1e-15,2.4e-15,3e-16,3e-16,3.2e-15,4e-16,3e-16,8e-15,1e-15,1e-15,0.15,0.09,0.09,0.5,0.1,0.1,Gaia DR3 181174025630479360,0.2958,12.77,1.54,0.02,0.0,0.0,1.03,13.85,0.003,14.062,0.004,13.459,0.005,14211.0,2.922e-11,8e-14,8e-14,2916.0,156.0,205.0,12.81,0.03,12.52,,12.38,,12.351,0.002,12.549,0.007,,,,,,21.0,1.0,2.0,1.4235336e+31,1.9763172e+30,2.3211454e+30,0.00048,4e-05,4e-05,1,star,
eta Ori,B0.5Ve,81.11923705,-2.3971525,XMM,J052428.6-022349,,,,2.85e-13,9e-15,9e-15,2.74e-13,9e-15,9e-15,1.2e-14,1e-15,1e-15,0.0,2e-15,2e-15,-0.92,0.04,0.04,-1.0,0.3,0.3,Gaia DR3 3214077516844988800,1.5783,2.06,1.3,0.4,2.025,6196.0,12.236,3.615,0.008,3.49,0.02,3.71,0.03,18608.0,3.63e-07,3e-09,3e-09,,,,4.0,0.2,4.0,0.2,3.9,0.04,4.0,0.3,3.7,0.1,4.05,0.01,4.05,0.02,170.0,,,,,,,7.9e-07,3e-08,3e-08,0,star,
25 Ori,B1Vpe,81.18678543,1.8464469,CXO,J052444.8+015046,,,,2e-14,1e-14,1e-14,3e-15,2e-15,2e-15,5e-16,5e-16,6e-16,2e-14,1e-14,1e-14,-0.7,0.6,0.6,0.9,0.8,0.8,Gaia DR3 3222282691086558464,2.9321,24.05,1.1,0.1,0.823,1467.0,1.025,4.641,0.004,4.602,0.006,4.65,0.01,40070.0,1.41e-07,5e-10,5e-10,342.0,12.0,14.0,5.37,0.03,5.42,0.03,5.36,0.02,4.2,0.2,3.6,0.2,3.31,0.01,2.71,0.02,263.0,1.8,0.2,0.2,2.6902636e+29,1.4506851e+29,1.45504895e+29,1.4e-07,7e-08,7e-08,0,star,
RX J0531.2-6609,B0.7Ve,82.80472161,-66.1185554,XMM,J053113.2-660707,,,,4.7e-12,5e-14,5e-14,1.02e-13,3e-15,3e-15,1.39e-13,2e-15,2e-15,4.46e-12,5e-14,5e-14,0.16,0.02,0.02,0.94,0.02,0.02,Gaia DR3 4660356557816810240,-0.0167,-0.8,1.69,0.03,0.118,3.607,0.936,14.88,0.003,14.785,0.004,14.954,0.006,28271.0,1.132e-11,3e-14,3e-14,,,,,,,,,,,,,,,,,,,,,,,,,0.415,0.005,0.005,0,star,
HD 36408,B7IIIe,83.05890332,17.05808603,XMM,J053214.2+170327,,,,4.1e-14,5e-15,5e-15,2.1e-14,2e-15,2e-15,7.6e-15,9e-16,9e-16,1.2e-14,4e-15,4e-15,-0.47,0.08,0.08,0.2,0.2,0.2,Gaia DR3 3397264537809127936,2.8515,51.51,11.3,0.05,0.327,236.4,1.18,6.062,0.003,6.055,0.003,6.022,0.004,,3.809e-08,1e-10,1e-10,345.0,6.0,7.0,5.96,0.02,6.02,0.02,6.02,0.03,6.3,0.1,6.23,0.07,5.91,0.03,3.49,0.03,300.0,18.5,0.3,0.4,5.843644e+29,6.913591e+28,6.9722714e+28,1.1e-06,1e-07,1e-07,0,star,
RX J0535.0-6700,B0Ve,83.77490825,-67.00437898,XMM,J053505.5-670015,,,,9.8e-13,6e-14,6e-14,2e-15,1e-15,1e-15,1.9e-14,2e-15,2e-15,9.6e-13,6e-14,6e-14,0.8,0.2,0.2,0.96,0.09,0.09,Gaia DR3 4660245713290392448,-0.0051,-0.25,1.71,0.03,0.078,1.661,0.954,14.783,0.003,14.74,0.004,14.811,0.006,26144.0,1.238e-11,3e-14,3e-14,,,,14.88,0.05,14.78,0.08,14.46,0.1,14.4,0.03,14.34,0.03,13.38,,9.75,,,,,,,,,0.079,0.005,0.005,0,HMXB,1
V1230 Ori,B8IVve,83.83634877,-5.36232448,CXO,J053520.7-052144,2.64,0.03,0.03,8.86e-13,1e-14,9e-15,1.16e-13,2e-15,2e-15,2.2e-13,3e-15,3e-15,5.5e-13,9e-15,8e-15,0.31,0.01,0.01,0.43,0.01,0.01,Gaia DR3 3017365643879095040,2.4554,79.11,3.38,0.03,0.22,70.05,1.975,9.461,0.003,9.694,0.004,8.972,0.004,,1.665e-09,4e-12,4e-12,403.0,5.0,5.0,8.07,0.03,7.6,0.03,7.38,0.02,,,,,,,,,,6.46,0.09,0.1,1.7261085e+31,4.581871e+29,4.959273e+29,0.000532,6e-06,6e-06,0,YSO,1
43 Ori,O9.5Vpe,83.8454267,-5.41605398,CXO,J053522.8-052457,3.97,0.06,0.06,6.97e-13,7e-15,6e-15,4.42e-13,5e-15,5e-15,1.23e-13,2e-15,2e-15,1.33e-13,4e-15,4e-15,-0.57,0.01,0.01,0.04,0.02,0.02,Gaia DR3 3017360936587007616,2.9728,13.92,2.6,0.1,1.433,4567.0,2.614,5.002,0.003,4.963,0.003,4.968,0.004,17766.0,1.012e-07,3e-10,3e-10,334.0,19.0,27.0,4.91,0.04,4.92,0.06,4.84,0.02,,,,,,,,,183.0,4.2,0.3,0.4,9.2965344e+30,1.04872766e+30,1.4972776e+30,6.89e-06,7e-08,7e-08,0,star,
RX J0535.6-6651,BIIIe,83.92084434,-66.86487937,XMM,J053541.0-665153,,,,5.5e-14,3e-15,3e-15,2.28e-14,1e-15,1e-15,1.18e-14,6e-16,6e-16,2e-14,3e-15,3e-15,-0.32,0.03,0.03,0.26,0.08,0.08,Gaia DR3 4660250867252215424,0.2612,2.66,2.3,0.1,1.171,297.8,4.295,15.026,0.004,14.836,0.01,15.103,0.007,27923.0,9.89e-12,4e-14,4e-14,,,,15.15,0.05,15.1,0.1,15.74,,15.26,0.04,15.43,0.05,13.58,,9.82,,,,,,,,,0.0055,0.0003,0.0003,1,HMXB,1
V725 Tau,O9.7IIe,84.72739246,26.31577524,CXO,J053854.5+261856,0.56,0.03,0.03,3.2e-12,4e-14,4e-14,6.5e-14,3e-15,3e-15,2.31e-13,5e-15,5e-15,2.9e-12,4e-14,4e-14,0.56,0.02,0.02,0.85,0.02,0.02,Gaia DR3 3441207615229815040,0.5245,22.56,2.94,0.02,0.123,25.19,1.285,8.602,0.003,8.988,0.003,8.01,0.006,41504.0,3.672e-09,1e-11,1e-11,1793.0,72.0,76.0,8.37,0.02,8.27,0.03,8.16,0.03,7.11,0.05,6.93,0.02,6.17,0.01,5.21,0.04,,25.0,1.0,1.0,1.23008384e+33,9.992404e+31,1.0578391e+32,0.00087,1e-05,1e-05,0,HMXB,3
AX J0544.1-7100,Be,86.0217085,-71.01410266,XRT,154946,3.6,0.5,1.2,8e-14,2e-14,2e-14,6e-14,2e-14,2e-14,1.1e-14,3e-15,3e-15,7e-15,2e-15,2e-15,-0.7,0.3,0.3,-0.2,0.2,0.2,Gaia DR3 4657045928301192320,0.0382,1.56,2.13,0.03,0.0,0.0,0.932,15.308,0.008,15.33,0.02,15.24,0.03,25301.0,7.63e-12,5e-14,5e-14,,,,15.13,0.06,15.02,0.09,15.2,0.2,14.37,0.03,14.43,0.04,12.0,0.1,10.0,0.5,,,,,,,,0.01,0.002,0.002,0,HMXB,1
HD 42054,B4IVe,91.76530034,-34.31202308,XMM,J060703.6-341843,,,,2.56e-12,3e-14,3e-14,7.3e-13,1e-14,1e-14,5.47e-13,8e-15,8e-15,1.28e-12,3e-14,3e-14,-0.14,0.01,0.01,0.4,0.02,0.02,Gaia DR3 2886603749632817792,3.4337,62.48,2.02,0.05,0.463,320.6,1.167,5.764,0.003,5.709,0.003,5.802,0.006,,5.01e-08,1e-10,1e-10,290.0,4.0,5.0,5.87,0.02,5.84,0.03,5.7,0.02,5.8,0.1,5.48,0.05,4.99,0.01,4.24,0.02,,2.78,0.08,0.08,2.574195e+31,7.929727e+29,9.434037e+29,5.1e-05,7e-07,7e-07,0,GCA,5
HD 43285,B5IVe,93.91739997,6.06609278,XMM,J061540.1+060358,,,,1.11e-13,5e-15,5e-15,8.1e-14,4e-15,4e-15,2.2e-14,2e-15,2e-15,8e-15,2e-15,2e-15,-0.57,0.05,0.05,-0.5,0.1,0.1,Gaia DR3 3318793251929855616,4.6484,75.58,17.05,0.09,0.349,124.2,0.956,6.044,0.003,5.972,0.003,6.138,0.004,13624.0,3.87e-08,1e-10,1e-10,213.0,3.0,3.0,6.28,0.03,6.34,0.04,6.38,0.03,6.34,0.08,6.34,0.03,6.45,0.01,6.41,0.07,260.0,17.2,0.3,0.2,6.0379063e+29,3.1754574e+28,3.0881044e+28,2.9e-06,1e-07,1e-07,0,star,
FR CMa,B1Vpe,95.35297527,-11.7732353,XMM,J062124.6-114623,,,,1.61e-12,2e-14,2e-14,2.71e-13,6e-15,6e-15,3.05e-13,5e-15,5e-15,1.03e-12,2e-14,2e-14,0.06,0.01,0.01,0.54,0.02,0.02,Gaia DR3 3001108264938556800,1.8635,31.22,2.57,0.05,0.33,154.7,0.823,5.531,0.005,5.55,0.01,5.42,0.01,34123.0,6.21e-08,3e-10,3e-10,530.0,18.0,21.0,5.76,0.04,5.64,0.03,5.48,0.02,5.0,0.2,4.54,0.07,3.94,0.01,3.07,0.02,242.0,6.5,0.3,0.3,5.419281e+31,3.7778436e+30,4.4515106e+30,2.59e-05,4e-07,4e-07,0,GCA,4
PZ Gem,O9pe,96.81574007,14.8892235,XMM,J062715.8+145321,,,,1.85e-13,5e-15,5e-15,3.5e-14,1e-15,1e-15,3.24e-14,9e-16,9e-16,1.17e-13,5e-15,5e-15,-0.04,0.02,0.02,0.57,0.04,0.04,Gaia DR3 3356755643227139584,1.1281,30.65,0.88,0.04,0.268,81.88,1.297,6.55,0.01,6.68,0.03,6.31,0.04,36246.0,2.43e-08,3e-10,3e-10,864.0,27.0,29.0,5.91,0.02,5.76,0.02,5.53,0.02,5.3,0.2,4.83,0.08,4.25,0.01,3.63,0.02,,3.6,0.2,0.2,1.6497966e+31,1.1173492e+30,1.1881797e+30,7.6e-06,2e-07,2e-07,0,GCA,2
HD 45995,B2Vnne,97.78985421,11.2513656,XMM,J063109.5+111504,,,,1.01e-12,5e-14,5e-14,1.9e-13,1e-14,1e-14,1.99e-13,1e-14,1e-14,6.2e-13,5e-14,5e-14,0.01,0.04,0.04,0.51,0.07,0.07,Gaia DR3 3328013928239036032,1.4952,22.74,3.52,0.06,0.363,140.9,1.271,6.059,0.005,6.02,0.01,6.06,0.03,19703.0,3.82e-08,2e-10,2e-10,658.0,28.0,28.0,6.04,0.02,5.97,0.04,5.78,0.02,5.9,0.1,5.49,0.06,4.77,0.01,3.87,0.02,255.0,11.0,0.5,0.5,5.24404e+31,5.20295e+30,5.246121e+30,2.6e-05,1e-06,1e-06,0,GCA,4
Cl* NGC 2244 PS 26,B7Ve,97.87399685,4.91365105,CXO,J063129.7+045449,,,,4e-15,1e-15,1e-15,1.5e-15,4e-16,4e-16,7e-16,3e-16,2e-16,2e-15,1e-15,1e-15,-0.3,0.2,0.2,0.5,0.4,0.4,Gaia DR3 3131376718971741952,0.6626,37.44,2.09,0.02,0.086,8.508,1.094,12.281,0.003,12.461,0.005,11.938,0.007,,1.239e-10,4e-13,4e-13,1436.0,33.0,40.0,11.45,0.02,10.89,0.03,9.69,0.02,7.99,0.02,6.98,0.02,3.86,0.01,2.11,0.02,,14.2,0.3,0.4,1.055921e+30,3.0542716e+29,3.0483261e+29,3.5e-05,1e-05,1e-05,0,YSO,1
Cl* NGC 2244 JOHN 33,B6Vne,98.06450416,4.92233204,CXO,J063215.4+045520,,,,7e-15,1e-15,1e-15,1.3e-15,3e-16,3e-16,1.6e-15,4e-16,3e-16,4e-15,1e-15,1e-15,0.1,0.2,0.2,0.4,0.2,0.2,Gaia DR3 3131335036310165632,0.6008,26.63,1.74,0.02,0.127,18.32,1.169,11.884,0.003,12.065,0.003,11.553,0.004,13535.0,1.787e-10,5e-13,5e-13,1528.0,46.0,51.0,11.15,0.02,11.0,0.02,10.96,0.02,10.86,0.02,10.88,0.02,10.5,0.2,7.8,,,12.6,0.4,0.4,1.8714772e+30,3.618774e+29,3.4848163e+29,3.7e-05,7e-06,7e-06,0,YSO,1
HD 259440,B0pe,98.24690242,5.80032053,XMM,J063259.2+054801,1.45,0.02,0.02,3.98e-13,8e-15,8e-15,2.4e-14,1e-15,1e-15,5.3e-14,1e-15,1e-15,3.21e-13,8e-15,8e-15,0.39,0.02,0.02,0.72,0.03,0.03,Gaia DR3 3131822364779745536,0.5404,23.88,0.43,0.02,0.102,10.64,1.095,8.88,0.003,9.236,0.003,8.31,0.004,41272.0,2.843e-09,7e-12,7e-12,1773.0,87.0,93.0,7.64,0.02,7.39,0.05,6.97,0.02,6.55,0.08,6.12,0.03,5.34,0.01,4.53,0.03,,3.6,0.2,0.2,1.4973729e+32,1.4972776e+31,1.6051598e+31,0.00014,3e-06,3e-06,0,HMGB,1
15 Mon,B1Ve,100.24441665,9.89573913,CXO,J064058.6+095345,6.3,0.1,0.1,1.28e-12,2e-14,2e-14,1.19e-12,2e-14,2e-14,7.5e-14,3e-15,3e-15,2.3e-14,3e-15,3e-15,-0.88,0.02,0.02,-0.53,0.05,0.05,Gaia DR3 3326740865570982400,-1.3292,-1.33,7.0,1.0,5.228,37360.0,5.06,4.544,0.006,4.513,0.003,4.874,0.004,26004.0,1.543e-07,8e-10,8e-10,,,,5.2,0.02,5.32,0.02,5.34,0.02,5.4,0.1,5.22,0.06,5.56,0.02,5.3,0.2,70.0,,,,,,,8.3e-06,1e-07,1e-07,0,star,
19 Mon,B1Ve,105.72822064,-4.23922204,XMM,J070254.7-041422,,,,3.2e-14,5e-15,5e-15,2.6e-14,3e-15,3e-15,2.8e-15,9e-16,9e-16,2e-15,4e-15,4e-15,-0.8,0.1,0.1,-0.1,0.7,0.7,Gaia DR3 3101768554465447936,2.6167,17.12,4.6,0.1,0.783,705.7,1.221,4.924,0.004,4.826,0.008,5.09,0.01,18361.0,1.087e-07,4e-10,4e-10,377.0,19.0,19.0,5.39,0.03,5.48,0.03,5.5,0.02,5.7,0.1,5.45,0.05,5.64,0.01,5.61,0.04,270.0,8.3,0.5,0.5,5.3725955e+29,9.8756895e+28,9.828383e+28,2.9e-07,4e-08,4e-08,0,star,
HD 57682,O9Ve,110.50860433,-8.97932105,XMM,J072202.0-085845,,,,5.1e-13,1e-14,1e-14,3.32e-13,9e-15,9e-15,1.28e-13,4e-15,4e-15,5e-14,7e-15,7e-15,-0.44,0.02,0.02,-0.43,0.05,0.05,Gaia DR3 3047763601330845312,0.8968,12.13,16.32,0.06,0.516,427.2,1.14,6.375,0.003,6.264,0.003,6.542,0.004,19936.0,2.856e-08,7e-11,7e-11,1111.0,95.0,98.0,6.81,0.03,6.97,0.06,6.94,0.02,6.94,0.04,7.01,0.02,6.94,0.01,5.27,0.06,,86.0,7.0,8.0,7.537951e+31,1.298471e+31,1.3405054e+31,1.79e-05,4e-07,4e-07,0,star,
BN Gem,O8Vpev,114.27388058,16.90424175,XMM,J073705.7+165415,,,,5.3e-14,6e-15,6e-15,3e-14,3e-15,3e-15,8e-15,1e-15,1e-15,1.5e-14,5e-15,5e-15,-0.57,0.09,0.09,0.3,0.2,0.2,Gaia DR3 3169064679035264896,0.5227,9.54,2.16,0.06,0.386,123.5,0.966,6.694,0.005,6.619,0.01,6.75,0.02,37034.0,2.129e-08,9e-11,9e-11,1729.0,123.0,207.0,7.04,0.03,7.07,0.03,6.97,0.02,6.92,0.05,6.78,0.02,6.22,0.01,5.57,0.04,362.0,18.0,1.0,2.0,1.9039063e+31,3.3820126e+30,4.980601e+30,2.5e-06,3e-07,3e-07,0,star,
V392 Pup,B7Ve,116.54383339,-37.93360254,XMM,J074610.5-375601,,,,3.9e-14,2e-15,2e-15,3.5e-14,1e-15,1e-15,4.1e-15,4e-16,4e-16,0.0,1e-15,1e-15,-0.79,0.04,0.04,-0.9,0.4,0.4,Gaia DR3 5538805188030100736,5.0296,52.99,24.6,0.1,0.837,884.0,1.745,5.847,0.003,5.787,0.003,5.922,0.004,,4.64e-08,1e-10,1e-10,199.0,4.0,4.0,6.03,0.02,6.1,0.04,6.11,0.02,6.1,0.1,6.03,0.04,6.2,0.01,6.11,0.05,,23.2,0.5,0.4,1.8649264e+29,1.1140308e+28,1.065275e+28,8.5e-07,4e-08,4e-08,0,star,
CD-29 5159,B0Ve,118.92702181,-29.56485836,XRT,48196,1.2,0.1,0.2,3.63e-12,5e-14,5e-14,5.2e-13,1e-14,1e-14,5.2e-13,1e-14,1e-14,2.59e-12,5e-14,5e-14,-0.01,0.01,0.01,0.67,0.02,0.02,Gaia DR3 5597252305589385984,0.2854,20.52,3.92,0.01,0.107,20.37,1.093,9.939,0.003,10.271,0.003,9.411,0.004,37141.0,1.072e-09,3e-12,3e-12,3357.0,154.0,160.0,9.69,0.02,9.52,0.02,9.31,0.02,8.6,0.02,8.41,0.02,8.05,0.02,7.3,0.1,,62.0,3.0,3.0,4.895048e+33,4.559569e+32,4.7074144e+32,0.00339,5e-05,5e-05,0,HMXB,6
V374 Car,B2IVnpe,119.71058644,-60.82441135,XMM,J075850.5-604928,,,,1.36e-13,3e-15,3e-15,3.28e-14,8e-16,8e-16,2.86e-14,6e-16,6e-16,7.4e-14,3e-15,3e-15,-0.07,0.02,0.02,0.44,0.03,0.03,Gaia DR3 5290767631226220032,2.4707,46.78,12.15,0.07,0.5,302.6,1.221,5.805,0.003,5.747,0.004,5.848,0.005,17466.0,4.83e-08,1e-10,1e-10,406.0,9.0,8.0,5.56,0.02,5.49,0.02,5.36,0.02,5.7,0.2,5.39,0.06,4.78,0.01,3.85,0.02,200.0,23.4,0.6,0.5,2.6748687e+30,1.3822639e+29,1.2896028e+29,2.81e-06,7e-08,7e-08,0,star,
QR Vel,B2Vne,140.49338974,-51.17648751,XRT,183048,,,,2.9e-13,7e-14,7e-14,7e-14,3e-14,3e-14,5e-14,2e-14,2e-14,1.7e-13,6e-14,6e-14,-0.2,0.3,0.3,0.5,0.3,0.3,Gaia DR3 5313354692457511424,0.4966,26.64,5.41,0.02,0.153,24.22,0.863,10.047,0.004,10.233,0.007,9.69,0.01,17390.0,9.7e-10,4e-12,4e-12,1944.0,76.0,65.0,9.05,0.03,8.86,0.05,8.61,0.02,8.47,0.02,8.19,0.02,7.34,0.02,6.52,0.08,,50.0,2.0,2.0,1.3142896e+32,3.2323591e+31,3.1854908e+31,0.0003,7e-05,7e-05,0,star,
I Hya,B5Ve,145.32072073,-23.59150033,XMM,J094116.9-233529,,,,5e-13,1e-14,1e-14,1.96e-13,5e-15,5e-15,1.36e-13,3e-15,3e-15,1.66e-13,9e-15,9e-15,-0.18,0.02,0.02,0.1,0.03,0.03,Gaia DR3 5663583299457858816,5.9358,29.99,29.2,0.2,1.242,1844.0,1.049,4.648,0.003,4.618,0.003,4.678,0.008,,1.401e-07,4e-10,4e-10,169.0,5.0,6.0,4.76,0.04,4.74,0.08,4.54,0.02,4.4,0.3,3.9,0.3,3.64,0.01,2.9,0.02,260.0,23.3,0.7,0.8,1.6936401e+30,9.987274e+28,1.1657339e+29,3.56e-06,8e-08,8e-08,0,star,
