Be_star,Type,RA,DEC,Xcat,Xidentifier,Gamma,e_Gamma,E_Gamma,Fb,e_Fb,E_Fb,Fs,e_Fs,E_Fs,Fm,e_Fm,E_Fm,Fh,e_Fh,E_Fh,HRms,e_HRms,E_HRms,HRhm,e_HRhm,E_HRhm,DR3Name,Plx,RPlx,PM,e_PM,epsi,sepsi,RUWE,G,e_G,BP,e_BP,RP,e_RP,Teff,Gflux,e_Gflux,E_Gflux,dist,e_dist,E_dist,J,e_J,H,e_H,K,e_K,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Vsini,Vtran,e_Vtran,E_Vtran,LX,e_LX,E_LX,fX2O,e_fX2O,E_fX2O,match_flag,Class,ref
V2156 Cyg,B1.5Vnnpe,321.26017958,44.45175948,XMM,J212502.4+442706,0.9,0.3,0.5,4.2e-13,2e-14,2e-14,4e-15,2e-15,2e-15,4.8e-14,3e-15,3e-15,3.7e-13,2e-14,2e-14,0.83,0.1,0.1,0.77,0.07,0.07,Gaia DR3 1970815567066416128,1.0899,64.34,2.69,0.02,0.12,16.4,1.067,8.658,0.003,8.987,0.003,8.125,0.004,28989.0,3.486e-09,9e-12,9e-12,901.0,13.0,10.0,7.43,0.02,7.21,0.02,6.94,0.02,6.47,0.08,6.1,0.04,5.42,0.01,4.6,0.03,,11.5,0.2,0.1,4.0607717e+31,2.5186328e+30,2.3964792e+30,0.00012,7e-06,7e-06,0,GCA,4
ALFIRK,B2IIIev,322.1650527,70.56071945,XMM,J212839.5+703339,,,,1.002e-12,4e-15,4e-15,8.92e-13,3e-15,3e-15,9.97e-14,9e-16,9e-16,1.03e-14,7e-16,7e-16,-0.799,0.005,0.005,-0.81,0.01,0.01,Gaia DR3 2272185759996420992,,,,,7.374,74990.0,,3.195,0.009,3.16,0.01,3.379,0.008,,5.34e-07,4e-09,4e-09,,,,3.6,0.2,3.7,0.2,3.9,0.03,3.9699,0.0002,3.4883,0.0004,,,,,20.0,,,,,,,1.87e-06,2e-08,2e-08,0,star,
V490 Cep,B1.5Ve,324.87785209,56.98621853,CXO,J213930.6+565910,1.4,0.3,0.3,6.7e-13,6e-14,6e-14,1.8e-14,5e-15,5e-15,6.9e-14,9e-15,9e-15,5.8e-13,6e-14,6e-14,0.6,0.1,0.1,0.8,0.1,0.1,Gaia DR3 2178178409188167296,0.1048,8.28,3.69,0.01,0.0,0.0,1.037,13.816,0.003,14.523,0.005,12.97,0.005,,3.015e-11,8e-14,8e-14,7447.0,492.0,576.0,11.83,0.02,11.41,0.03,10.93,0.02,10.44,0.02,10.07,0.02,9.15,0.03,7.9,0.1,,130.0,9.0,10.0,4.430527e+33,7.002224e+32,7.856537e+32,0.022,0.002,0.002,0,HMXB,1
EM Cep,B0.5Ve,328.45040039,62.61442167,CXO,J215348.1+623651,,,,5e-15,1e-15,1e-15,3e-15,1e-15,9e-16,1.1e-15,4e-16,4e-16,8e-16,6e-16,6e-16,-0.5,0.3,0.3,-0.2,0.4,0.4,Gaia DR3 2204369875668251264,1.5214,7.95,2.9,0.2,2.102,4734.0,10.054,6.959,0.004,7.064,0.007,6.705,0.008,23123.0,1.667e-08,5e-11,5e-11,697.0,74.0,96.0,6.49,0.03,6.5,0.03,6.52,0.02,6.45,0.07,6.43,0.02,6.28,0.01,5.66,0.04,304.0,10.0,1.0,2.0,2.8014334e+29,9.3208955e+28,1.0393653e+29,2.9e-07,7e-08,7e-08,0,star,
BD+53 2790,O9.5IIIe,331.98428755,54.51843217,XMM,J220756.2+543106,0.0,0.1,3.4,9.877e-11,9e-14,9e-14,3.71e-12,1e-14,1e-14,1.181e-11,2e-14,2e-14,8.324e-11,8e-14,8e-14,0.522,0.002,0.002,0.751,0.001,0.001,Gaia DR3 2005653524280214400,0.3051,22.42,5.33,0.01,0.107,14.0,0.979,9.743,0.003,9.881,0.003,9.464,0.004,20008.0,1.283e-09,3e-12,3e-12,3104.0,136.0,134.0,9.22,0.03,9.12,0.03,9.04,0.02,8.7,0.02,8.56,0.02,8.19,0.02,7.9,0.2,,78.0,3.0,3.0,1.1389164e+35,9.9593205e+33,9.816131e+33,0.077,0.0002,0.0002,0,HMXB,3
pi Aqr,B1Ve,336.31934039,1.37740985,XMM,J222516.6+012238,,,,8.19e-12,3e-14,3e-14,7.91e-13,6e-15,6e-15,1.286e-12,5e-15,5e-15,6.11e-12,3e-14,3e-14,0.238,0.004,0.004,0.652,0.005,0.005,Gaia DR3 2702544403629124224,2.9761,26.37,17.7,0.2,0.759,746.3,0.952,4.525,0.005,4.52,0.01,4.46,0.02,37395.0,1.569e-07,7e-10,7e-10,330.0,11.0,14.0,5.3,0.04,5.36,0.05,5.35,0.02,4.6,0.2,4.0,0.2,4.07,0.02,3.61,0.03,230.0,27.7,0.9,1.2,1.0664302e+32,6.99767e+30,8.989434e+30,5.22e-05,3e-07,3e-07,0,GCA,5
4U 2238+60,Be,339.8368298,61.27405312,CXO,J223920.8+611626,,,,3.9e-13,5e-14,5e-14,4e-15,2e-15,2e-15,1.9e-14,5e-15,5e-15,3.6e-13,5e-14,5e-14,0.6,0.3,0.3,0.9,0.2,0.2,Gaia DR3 2201091578667140352,0.104,7.44,2.56,0.01,0.044,1.044,1.105,14.105,0.005,15.06,0.009,13.12,0.01,16440.0,2.311e-11,1e-13,1e-13,7388.0,676.0,856.0,11.45,0.03,10.95,0.03,10.56,0.02,10.18,0.02,9.95,0.02,9.48,0.05,8.3,0.2,,89.0,8.0,10.0,2.5191325e+33,5.599937e+32,6.6483624e+32,0.017,0.002,0.002,0,HMXB,3
HD 215227,B5ne,340.73874141,44.7217246,XMM,J224257.2+444315,,,,6e-15,3e-15,3e-15,3.2e-15,7e-16,7e-16,1.4e-15,4e-16,4e-16,2e-15,2e-15,2e-15,-0.4,0.2,0.2,0.1,0.8,0.8,Gaia DR3 1982359580155628160,0.486,26.31,4.7,0.02,0.158,39.01,1.139,8.705,0.003,8.769,0.003,8.495,0.005,,3.34e-09,9e-12,9e-12,1985.0,77.0,81.0,8.23,0.03,8.13,0.02,7.88,0.02,7.39,0.03,7.03,0.02,6.47,0.02,5.9,0.05,,44.0,2.0,2.0,3.0217563e+30,1.2507532e+30,1.2530404e+30,1.9e-06,8e-07,8e-07,0,HMXB,7
EM* MWC 659,B0IIIpe,341.93901022,57.28076541,XMM,J224745.2+571650,1.8,0.9,1.0,1.13e-12,2e-14,2e-14,4.7e-14,2e-15,2e-15,1.31e-13,3e-15,3e-15,9.5e-13,2e-14,2e-14,0.48,0.02,0.02,0.76,0.03,0.03,Gaia DR3 2007135459792401408,0.2773,23.18,4.49,0.01,0.086,10.93,0.949,9.917,0.003,10.209,0.003,9.415,0.004,41066.0,1.094e-09,3e-12,3e-12,3409.0,185.0,170.0,8.84,0.02,8.56,0.03,8.22,0.02,7.78,0.03,7.43,0.02,6.49,0.01,5.52,0.04,,73.0,4.0,4.0,1.5745313e+33,1.7395288e+32,1.6070621e+32,0.00103,2e-05,2e-05,0,GCA,5
BD+61 2355,B7IVe,343.12167382,62.68602526,XMM,J225228.9+624110,,,,3e-14,2e-14,2e-14,8e-15,2e-15,2e-15,1e-14,2e-15,2e-15,1e-14,2e-14,2e-14,0.1,0.2,0.2,0.1,0.7,0.7,Gaia DR3 2207278904253598976,1.6821,23.86,4.75,0.07,0.769,747.1,5.037,9.562,0.003,9.714,0.003,9.158,0.004,13752.0,1.516e-09,4e-12,4e-12,590.0,22.0,19.0,8.75,0.02,8.66,0.03,8.6,0.02,8.56,0.02,8.55,0.02,7.93,0.02,5.57,0.03,,13.3,0.5,0.5,1.2435317e+30,6.4862104e+29,6.466289e+29,2e-05,1e-05,1e-05,0,star,
