source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
5884544935760219136,238.58913742918654,-55.329943830783726,0.3600424026969981,-4.905851599911074,-5.40037568817681,0.8246245,15.949147,2.03236,-43.18391,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4319.611,2.4203,0.0027,947.3741,7.0221,4.4966,2.5155,"1H 1555-552",238.59069890562003,-55.32897520795,0.7316,-3.124,-3.223,0.0,2000.0,0.0012942996986619222
5884544935760223872,238.5918869199843,-55.32907653215481,0.846469108518899,-3.3396069622280997,-2.729498044621824,1.091454,10.112024,0.7683382,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,,"1H 1555-552",238.59069890562003,-55.32897520795,0.7316,-3.124,-3.223,0.0,2000.0,6.95167138399961E-4
5935509395647468288,244.88380927737032,-49.741196360068585,0.806524539084464,-3.422285623039709,-3.8417640091683554,0.992742,19.945778,1.6925278,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,,"IGR J16195-4945",244.88409671297998,-49.74182374815,0.3588,-0.184,-0.545,0.0,2000.0,6.564004213935889E-4
5935509395659726592,244.8840954475876,-49.741826170029775,0.35882505488809213,-0.18399109215839704,-0.5449229720233741,1.0523932,16.373215,1.5836115,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,7986.783,4.0735,-1.3177,2093.5774,3.0197,2.4952,1.3659,"IGR J16195-4945",244.88409671297998,-49.74182374815,0.3588,-0.184,-0.545,0.0,2000.0,3.4471603121464263E-10
5943246345430928512,251.64690161252628,-45.11796081034128,0.29609864232667726,-1.7593910230172454,-3.0641449978293434,1.0900444,13.484344,2.6437254,,"VARIABLE",0,true,true,false,true,false,false,true,5039.0337,1.849,-1.4133,2115.768,4.1418,2.9456,1.6446,"IGR J16465-4507",251.64691269382993,-45.11794719192,0.2961,-1.759,-3.064,0.0,2000.0,1.8539345823325868E-9
5943246349730968064,251.64521255979636,-45.11853536509566,0.16332065759873485,-1.0658943062294166,-0.7561142537471344,1.0418652,18.06934,1.790287,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4764.697,4.8606,-1.7826,768.363,1.498,1.1308,0.6201,"IGR J16465-4507",251.64691269382993,-45.11794719192,0.2961,-1.759,-3.064,0.0,2000.0,0.0013231325568031898
5943246349753407744,251.6463804604919,-45.116982516853874,0.47821338909167577,-0.7693167950059927,-2.355552021637245,0.99359685,17.712505,1.9389076,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4447.404,4.3388,-3.913,809.318,1.705,1.2477,0.6911,"IGR J16465-4507",251.64691269382993,-45.11794719192,0.2961,-1.759,-3.064,0.0,2000.0,0.001045132067069605
5943246384121718400,251.6474875598535,-45.11722910979544,0.6724458254901428,-1.4963313663290654,-2.3606339878711124,0.963945,18.180128,1.9125023,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,,"IGR J16465-4507",251.64691269382993,-45.11794719192,0.2961,-1.759,-3.064,0.0,2000.0,8.404437993724849E-4
4060784345959549184,266.19068598153774,-27.2290321367955,0.787333882479544,-0.8569741814419296,-2.295820285732529,0.8026602,8.234564,0.7759843,,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,40958.207,4.1009,-0.9903,1229.6844,2.3727,2.2423,1.2366,"RX J1744.7-2713",266.19069026498,-27.229021933150005,0.7873,-0.857,-2.296,0.0,2000.0,8.075291955360546E-10
4063908810076415872,268.6052987030251,-26.331274336947732,0.3963276780006648,-0.5057220749359188,-0.667794468304362,1.0879679,11.663726,2.404337,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,,"IGR J17544-2619",268.60530121088,-26.33127136897,0.3963,-0.506,-0.668,0.0,2000.0,1.5370835860791197E-9
