Be_star,Type,RA,DEC,Xcat,Gamma,e_Gamma,E_Gamma,Fb,e_Fb,E_Fb,Fs,e_Fs,E_Fs,Fm,e_Fm,E_Fm,Fh,e_Fh,E_Fh,HRms,e_HRms,E_HRms,HRhm,e_HRhm,E_HRhm,DR3Name,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,epsi,sepsi,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,Teff,Gflux,e_Gflux,E_Gflux,distance,e_distance,E_distance,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,LX,e_LX,E_LX,fX2O,e_fX2O,E_fX2O,matching_flag,Class,ref
HD 100199,B0.5IIIne,172.7787408554,-62.94691902264,CXO,0.065576,0.172636,0.175144,2.7152679534406768e-12,1.357129554692524e-13,1.3570420419082991e-13,1.2921820840847e-14,4.814011685805601e-15,4.560642649711e-15,1.3853484135922999e-13,1.433816051308e-14,1.433816051308e-14,2.5638112912405997e-12,1.348675228763002e-13,1.348675228762998e-13,0.8293660951833596,0.12906234222901608,0.12973764906522925,0.8974706906062025,0.06743728900684695,0.06743728900684694,Gaia DR3 5333660129603575808,0.5732,0.0467,-6.098,0.048,1.373,0.048345596,0.468,135.9,1.505,8.126811,0.002887,8.113963,0.003502,8.075031,0.005015,29916.9,5.688385199724833e-09,1.5125559965336166e-11,1.5125559965336166e-11,1731.27478,111.88366999999994,139.16382,8.048,0.023,8.067,0.031,8.009,0.029,8.063,0.023,8.012,0.02,7.625,0.044,7.041,0.121,9.739718536166578e+32,1.3497055912142832e+32,1.6397204897024787e+32,0.0004773354577977637,2.3891643599752918e-05,2.389010732551849e-05,0,HMXB,SIMBAD
V870 Cen,B2Ve,174.58301532056,-63.34347837499,XMM,,,,1.0315215930657992e-14,1.5145019899426974e-15,1.5145019899426974e-15,4.272963019026248e-15,6.872228656993589e-16,6.872228656993589e-16,4.332040660039938e-15,5.159680693204648e-16,5.159680693204648e-16,1.7102122515918067e-15,1.2470837830082077e-15,1.2470837830082077e-15,0.00686549863510356,0.09986974229921582,0.09986974229921582,-0.4339157011122348,0.2434829571091266,0.2434829571091266,Gaia DR3 5333580105769333120,0.4102,0.0155,-6.244,0.016,0.944,0.015411055,0.128,20.02,0.946,10.637633,0.003144,10.704705,0.005612,10.469887,0.005727,15167.0,5.631968249533276e-10,1.6308665124119357e-12,1.6308665124119357e-12,2369.42773,82.17259999999987,110.52588000000014,10.258,0.035,10.232,0.041,10.215,0.038,10.182747,-0.0007134049,10.201477,-0.0016123621,,,,,6.930538248615354e+30,1.125388965642297e+30,1.2056025440534071e+30,1.8315472448753276e-05,2.6896396673886188e-06,2.6896396673886188e-06,1,star,
HD 308829,B5e,174.74145950124,-63.4774941368,XMM,,,,1.8858436236395038e-13,1.0920606335330277e-14,1.0920606335330277e-14,3.84146951171309e-14,1.9754803484094078e-15,1.9754803484094078e-15,5.0991764864716113e-14,1.6869208528648589e-15,1.6869208528648589e-15,9.917790238210337e-14,1.0607139961387976e-14,1.0607139961387976e-14,0.14067294186727503,0.02934141129739,0.02934141129739,0.3208779669078465,0.07511391375241316,0.07511391375241316,Gaia DR3 5333574672615611776,0.3761,0.0171,-6.095,0.018,0.51,0.017898189,0.147,26.97,1.135,10.625461,0.002914,10.780537,0.004077,10.325767,0.004782,,5.695462513885513e-10,1.528601302298805e-12,1.528601302298805e-12,2562.36572,85.98632999999973,128.7075200000004,9.883,0.023,9.73,0.027,9.684,0.032,,,,,,,,,1.481800088356543e+32,1.3135279316790287e+31,1.718221772286337e+31,0.0003311133413733872,1.9194804858759867e-05,1.9194804858759867e-05,1,star,
V801 Cen,B1Vne,177.00003001549,-62.20691022592,CXO,0.83215,0.0236099999999999,0.02376,8.59151667927002e-12,9.900556543728033e-14,9.335707121951835e-14,4.1202405205558e-13,8.836801276050002e-15,8.836801276040005e-15,8.5656490833604e-13,1.4435652529149963e-14,1.4435652529160057e-14,7.3229277188784e-12,9.754806439299984e-14,9.180994295800077e-14,0.3504215078012566,0.014137555534147582,0.01413755553415756,0.7905579362010509,0.015034259871038238,0.014830322640316909,Gaia DR3 5334823859608495104,0.4754,0.0174,-6.226,0.017,1.598,0.017916959,0.114,10.14,0.852,8.652682,0.003156,8.823288,0.004444,8.294997,0.010268,41348.1,3.504617278460851e-09,1.0187163403366864e-11,1.0187163403366864e-11,2063.11938,87.16284000000019,80.74658999999974,8.677,0.026,8.577,0.057,8.403,0.029,8.32,0.023,8.169,0.02,7.784,0.024,6.98,0.091,4.376432780309947e+33,3.732149566062109e+32,3.4585562036880246e+32,0.0024514849972557405,2.9134919182088133e-05,2.7574959049515314e-05,0,HMXB,2006A&A...455.1165L
V863 Cen,B6IIIe,182.0215309673,-50.66132229403,XMM,,,,8.757031259571029e-14,4.786884315888451e-15,4.786884315888451e-15,6.67093172505996e-14,4.035580516117233e-15,4.035580516117233e-15,1.5988624476684085e-14,1.5557338079971668e-15,1.5557338079971668e-15,4.872370868426599e-15,2.051351669092466e-15,2.051351669092466e-15,-0.6133247299089883,0.06135273077591311,0.06135273077591311,-0.5328726373961283,0.13984351756637436,0.13984351756637436,Gaia DR3 6126517517699891712,9.1857,0.1923,-32.587,0.132,-11.55,0.13828976,1.426,4540.0,1.44,4.397392,0.002927,4.340251,0.003086,4.552444,0.00443,14108.4,1.7650483144946504e-07,4.758334845872385e-10,4.758334845872385e-10,108.944145,2.147812000000002,1.924408,5.125,0.262,4.949,0.076,4.871,0.026,4.886,0.217,4.715,0.109,4.995,0.014,4.961,0.028,1.2438453793821508e+29,8.383529147485736e+27,8.095676046861129e+27,4.961354988222092e-07,2.7153376733308523e-08,2.7153376733308523e-08,0,star,
del Cen,B2Vne,182.08939329942,-50.72248107335,XMM,,,,8.790069749727795e-14,6.586391572501905e-15,6.586391572501905e-15,7.386392817005848e-14,4.766271096425795e-15,4.766271096425795e-15,9.620358064445106e-15,1.3737065804112084e-15,1.3737065804112084e-15,4.4164112627743655e-15,4.33314481787017e-15,4.33314481787017e-15,-0.7695288898458819,0.07497165528235086,0.07497165528235086,-0.3707367899520498,0.3453799489296809,0.3453799489296809,Gaia DR3 6126469654585981952,5.7179,0.6516,-42.613,0.413,-11.135,0.48208413,2.75,10100.0,3.221,2.508257,0.006114,2.883904,0.026306,2.631458,0.011911,,1.005566039686916e-06,5.6625455978189546e-09,5.6625455978189546e-09,187.458588,20.017563,24.751037,2.788,0.298,2.809,0.244,2.668,0.244,0.471,,0.286,,1.023,0.006,0.334,0.015,3.696619172271641e+29,8.366594577556996e+28,1.0147009662603073e+29,8.741414688650973e-08,6.568405224606764e-09,6.568405224606764e-09,0,star,
BZ Cru,B0.5IVpe,190.70931703329,-63.05864217079,XMM,,,,1.2066687871677175e-11,2.3531712575954913e-14,2.3531712575954913e-14,9.800968422465756e-13,3.493101462638875e-15,3.493101462638875e-15,1.846903208128949e-12,3.665805720208837e-15,3.665805720208837e-15,9.239687821301651e-12,2.2980461425975523e-14,2.2980461425975523e-14,0.3066170323439616,0.0018734568653050122,0.0018734568653050122,0.6668221632373491,0.0025228924059569366,0.0025228924059569366,Gaia DR3 6055103928246312960,2.2826,0.0765,-12.857,0.07,-3.677,0.074046545,0.663,549.3,1.09,5.13685,0.003006,5.317963,0.004043,4.793645,0.005707,35305.3,8.932507670006168e-08,2.473079366642304e-10,2.473079366642304e-10,439.173645,15.029633000000048,15.066894999999988,4.655,0.22,4.339,0.208,4.038,0.31,3.499,0.278,2.853,0.259,2.27,0.01,1.537,0.013,2.785238094623149e+32,1.9071314839233941e+31,1.911855881538542e+31,0.00013508734968339348,4.574725252074492e-07,4.574725252074492e-07,0,Gamma Cas analog,2016AdSpR..58..782S
V850 Cen,B2Vne,195.32119649506,-61.60184481323,XRT,,,,8.865804696880094e-11,2.0794614350744583e-13,2.0794614350744583e-13,2.205901049686705e-11,7.966233450005238e-14,7.966233450005238e-14,1.5816283014118968e-11,5.711779448117989e-14,5.711779448117989e-14,5.078275345781493e-11,1.833932076583719e-13,1.833932076583719e-13,-0.1648232107016499,0.0026229676335781773,0.0026229676335781773,0.5250296745423861,0.003257509075245536,0.003257509075245536,Gaia DR3 5863533199843070208,0.5395,0.0141,-4.341,0.012,-0.236,0.015209818,0.089,10.3,1.017,12.647679,0.002886,13.952112,0.004534,11.519385,0.004795,,8.843858753550194e-11,2.350789837429409e-13,2.350789837429409e-13,1856.10498,45.55944999999997,36.628420000000006,9.798,0.022,9.297,0.022,9.04,0.021,8.017,0.023,7.611,0.02,6.893,0.019,4.883,0.036,3.6553161015495114e+34,1.7964949232280067e+33,1.445227162623501e+33,1.002481489578414,0.003553767791658518,0.003553767791658518,0,HMXB,2006A&A...455.1165L
CPD-63 2495,B2e,195.69848851536,-63.83573123377,CXO,1.7948,0.0510999999999999,0.0524,9.928858651704899e-13,1.9607084507548312e-14,1.9607084507549717e-14,1.0016919680308e-13,4.231138433233001e-15,4.2311384332399936e-15,1.8446712607458999e-13,4.9642306089400026e-15,4.964230608939978e-15,7.082495422928199e-13,1.8490312190610052e-14,1.8490312190609948e-14,0.2961601260839055,0.02389991597840863,0.02389991597839195,0.586728617015875,0.024864762586255366,0.02486476258625531,Gaia DR3 5862299960127967488,0.4434,0.0133,-7.093,0.012,-0.342,0.014234628,0.067,4.899,0.981,9.632835,0.00278,10.15393,0.00285,8.913,0.003799,35609.8,1.4209519677819934e-09,3.6383114545894154e-12,3.6383114545894154e-12,2170.5105,58.66454999999996,62.38696000000027,8.026,0.027,7.699,0.055,7.248,0.02,6.783,0.038,6.462,0.021,5.637,0.015,4.741,0.03,5.597895897778844e+32,3.2215961098745184e+31,3.402583437168429e+31,0.0006987469581539165,1.3914061105471417e-05,1.39140611054724e-05,0,HMGB,SIMBAD
V955 Cen,B2IVne,198.54794100157,-63.3737530754,XRT,,,,8.442903894854371e-13,1.4681350307547752e-13,1.4681350307547752e-13,2.100679092402876e-13,5.6242958844314336e-14,5.6242958844314336e-14,1.5061842892728688e-13,4.0326131344806273e-14,4.0326131344806273e-14,4.836040513178626e-13,1.2947871406718342e-13,1.2947871406718342e-13,-0.16482321070165004,0.19446183375194023,0.19446183375194023,0.5250296745423861,0.24150552989160778,0.24150552989160778,Gaia DR3 5862225193377914368,0.8995,0.0211,-8.16,0.017,-3.27,0.020698013,0.136,12.21,0.755,7.861507,0.003091,7.937854,0.005211,7.64825,0.005184,24604.6,7.262908917170705e-09,2.0676893120622963e-11,2.0676893120622963e-11,1092.97717,29.474479999999858,27.694580000000087,7.509,0.023,7.364,0.038,7.103,0.026,6.784,0.031,6.483,0.02,5.761,0.023,5.025,0.103,1.2070235241496836e+32,2.1975313737618424e+31,2.186207859769923e+31,0.00011624686459848017,2.0216855180626537e-05,2.0216855180626537e-05,1,star,
HD 117357,O9.5Ve,202.8145154522,-61.73263347015,XMM,,,,8.389284054380042e-15,6.131334226960081e-15,6.131334226960081e-15,4.508955116427749e-15,9.986749988268808e-16,9.986749988268808e-16,7.567755688935208e-21,3.1798271531324853e-16,3.1798271531324853e-16,3.880321370196604e-15,6.041092172957828e-15,6.041092172957828e-15,-0.9999966432387143,0.32872345456936314,0.32872345456936314,0.9999960994256881,2.2047627853630067,2.2047627853630067,Gaia DR3 5868440492071967104,0.4427,0.0161,-5.426,0.012,-2.771,0.015572209,0.11,15.03,0.914,9.029179,0.002793,9.121632,0.003055,8.802739,0.003954,,2.4776605035418497e-09,6.37365297027558e-12,6.37365297027558e-12,2210.94141,87.75756999999976,86.4694800000002,8.601,0.026,8.577,0.044,8.537,0.023,8.381,0.022,8.327,0.02,7.785,0.03,6.802,0.12,4.907734666238974e+30,3.607930059573054e+30,3.607317034473657e+30,3.385969967389578e-06,2.474661963714255e-06,2.474661963714255e-06,0,star,
HD 119682,B0Ve,206.63566597037,-62.92338696174,CXO,1.54956,0.07786,0.0803399999999998,9.196763955329429e-13,3.3856587751149255e-14,3.175740961890979e-14,9.4917423607223e-14,5.179094741000003e-15,5.179094740996999e-15,1.3547567807651e-13,7.127991064630004e-15,7.127991064630004e-15,6.892832938492099e-13,3.2690017668969996e-14,3.0510683157699963e-14,0.17603936130415243,0.038830778295423724,0.03883077829543151,0.6714781343689068,0.04792088535539931,0.046746374961041344,Gaia DR3 5864664975280537728,0.6055,0.0286,-4.749,0.022,-2.261,0.023262644,0.255,69.64,0.946,8.518085,0.00638,8.513863,0.015549,8.429379,0.026808,29823.6,3.967157089470718e-09,2.331179721179292e-11,2.331179721179292e-11,1597.0271,65.29602,80.9531199999999,7.35,0.027,7.184,0.033,6.95,0.023,6.532,0.061,6.267,0.024,5.69,0.022,5.241,0.089,2.807122201179583e+32,2.5173319823191695e+31,3.0064072397023527e+31,0.00023182253054053936,8.642255453371573e-06,8.120159400337307e-06,0,Gamma Cas analog,2016AdSpR..58..782S
mu Cen,B2Vnpe,207.40253105568,-42.47309628078,XMM,,,,2.70166572501555e-13,8.282903176308366e-15,8.282903176308366e-15,1.9698537541593746e-13,6.502263841998925e-15,6.502263841998925e-15,5.66825657876816e-14,2.667800370974817e-15,2.667800370974817e-15,1.649863129793596e-14,4.382908981231443e-15,4.382908981231443e-15,-0.5530963391059137,0.03166215465655353,0.03166215465655353,-0.5491019017184546,0.07998818229211216,0.07998818229211216,Gaia DR3 6109087750134510464,6.3058,0.0841,-25.726,0.076,-19.125,0.07063851,0.558,349.9,4.202,12.38846,0.00666,11.258957,0.060971,10.922451,0.05307,,1.1228697904516834e-10,6.887780633670738e-13,6.887780633670738e-13,158.004929,1.9283300000000168,1.5843500000000006,,,,,,,,,,,,,,,8.071878027322157e+29,3.163226538135971e+28,2.9571337993217042e+28,0.002406036521766948,7.522745277611934e-05,7.522745277611934e-05,1,star,
V767 Cen,B2Ve,208.48844872277,-47.12818283481,XMM,,,,2.6497412200539926e-12,3.8484192540685006e-14,3.8484192540685006e-14,5.30473486670956e-13,1.0701301469135014e-14,1.0701301469135014e-14,4.800325814315559e-13,7.719035125157025e-15,7.719035125157025e-15,1.6392351519514806e-12,3.61515106062222e-14,3.61515106062222e-14,-0.049916479308348874,0.013073821000932635,0.013073821000932635,0.546982597932288,0.019881893327188815,0.019881893327188815,Gaia DR3 6095347496917833472,1.4567,0.0932,-7.699,0.085,-4.225,0.09971425,0.585,437.0,1.559,6.110023,0.006613,6.029997,0.015185,6.160856,0.026363,19280.0,3.645055940374015e-08,2.2201299752238806e-10,2.2201299752238806e-10,677.693542,33.38604699999996,39.76818900000001,5.876,0.02,5.811,0.021,5.617,0.021,6.268,0.065,6.038,0.024,5.69,0.016,5.053,0.027,1.4563704668559267e+32,1.4504451736355492e+31,1.7222831221827703e+31,7.269411672683701e-05,1.1448741432715483e-06,1.1448741432715483e-06,0,Gamma Cas analog,2020MNRAS.498.3171N
4U 1416-62,Be,215.30060802582,-62.69892176003,CXO,,,,3.0653631909172997e-13,4.697567946171611e-14,4.444351517282706e-14,1e-20,0.0,2.0954081805063e-15,1.747216837311e-14,4.811176798392999e-15,4.811176798392002e-15,2.8906414071862e-13,4.672865329436e-14,4.4132617000230006e-14,0.9999988553230412,0.4247517093228064,0.38942068010964487,0.8860026179288176,0.19987334515855615,0.19851861649927804,Gaia DR3 5854175187710795136,0.0633,0.0495,-4.343,0.027,-1.811,0.04350193,0.274,11.96,1.035,16.17779,0.002823,17.230152,0.008246,14.935932,0.005304,,3.4245017918414147e-12,8.903975492391287e-15,8.903975492391287e-15,7428.98535,1811.02685,3095.695350000001,13.297,0.024,12.747,0.023,12.294,0.019,11.747,0.01,11.683,0.009,,,,,2.0246159288335233e+33,1.0347280293587408e+33,1.712678142311935e+33,0.08951267592326183,0.013719496495824416,0.012980183362658862,0,star,
